Date,A,B
2019/8/17,6655,21.87
2019/8/18,6143,21.47
2019/8/19,6376,19.35
2019/8/20,6269,18.81
2019/8/21,6430,19.17
2019/8/22,4824,13.79
2019/8/23,4868,13.85
2019/8/24,6973,24.05
2019/8/25,5462,18.84
2019/8/26,5354,15.27
2019/8/27,4692,13.18
2019/8/28,4094,11.21
2019/8/29,4056,11.15
2019/8/30,5615,16.22
2019/8/31,4767,15.56
2019/9/1,4982,16.81
2019/9/2,4606,13.02
2019/9/3,4581,12.92
2019/9/4,5419,16.07
2019/9/5,5876,17.66
2019/9/6,5085,14.87
2019/9/7,4894,16.27
2019/9/8,4192,14.43
2019/9/9,4961,14.44
2019/9/10,4148,11.97
2019/9/11,4575,12.95
2019/9/12,4625,13.12
2019/9/13,4824,16.42
2019/9/14,4394,15.33
2019/9/15,5387,19.11
2019/9/16,6025,18.13
2019/9/17,5975,18.13
2019/9/18,6042,18.63
2019/9/19,6893,21.88
2019/9/20,6345,20.74
2019/9/21,5612,21.21
2019/9/22,5421,20.98
2019/9/23,6619,22.1
2019/9/24,6616,21.98
2019/9/25,5679,18.49
2019/9/26,5659,18.16
2019/9/27,6244,19.98
2019/9/28,4852,17.23
2019/9/29,4315,15.45
2019/9/30,7657,26.86
2019/10/1,4532,14.2
2019/10/2,4077,12.24
2019/10/3,3807,11.3
2019/10/4,4421,13.13
2019/10/5,4561,14.06
2019/10/6,3789,13.52
2019/10/7,3702,11.26
2019/10/8,4351,13.21
2019/10/9,4701,14.53
2019/10/10,4405,15.84
2019/10/11,4490,16.52
2019/10/12,4742,17.59
2019/10/13,5432,20.6
2019/10/14,5091,16.48
2019/10/15,5085,16.66
2019/10/16,3984,13.14
2019/10/17,4582,15.18
2019/10/18,4810,15.94
2019/10/19,4788,18.11
2019/10/20,4420,17.52
2019/10/21,4274,14.63
2019/10/22,3803,12.66
2019/10/23,3779,12.48
2019/10/24,3829,12.62
2019/10/25,4120,13.67
2019/10/26,3101,11.7
2019/10/27,2762,10.74
2019/10/28,4053,13.42
2019/10/29,4616,15.58
2019/10/30,3666,12.34
2019/10/31,3639,12.1
2019/11/1,3930,12.96
2019/11/2,3378,12.65
2019/11/3,3420,13.29
2019/11/4,3455,11.84
2019/11/5,3769,12.89
2019/11/6,3344,11.36
2019/11/7,3752,12.67
2019/11/8,4741,16.4
2019/11/9,3709,14.32
2019/11/10,3032,12.27
2019/11/11,3607,12.6
2019/11/12,3592,12.26
2019/11/13,3300,11.24
2019/11/14,3823,13.2
2019/11/15,3150,10.95
2019/11/16,3200,12.27
2019/11/17,2590,10.21
2019/11/18,3037,10.36
2019/11/19,3337,11.61
2019/11/20,3347,11.57
2019/11/21,2996,10.15
2019/11/22,2970,10.07
2019/11/23,2695,10.06
2019/11/24,3190,12.47
2019/11/25,2969,10.12
2019/11/26,3312,11.31
2019/11/27,3565,12.16
2019/11/28,3418,11.95
2019/11/29,3392,11.91
2019/11/30,3004,11.62
2019/12/1,3425,13.79
2019/12/2,3462,12.39
2019/12/3,3150,11.19
2019/12/4,3053,10.72
2019/12/5,3022,10.53
2019/12/6,3414,11.95
2019/12/7,2901,11.23
2019/12/8,2956,11.94
2019/12/9,3205,11.36
2019/12/10,3146,11.06
2019/12/11,3202,11.28
2019/12/12,2998,10.55
2019/12/13,3154,11.12
2019/12/14,3035,11.82
2019/12/15,2812,11.38
2019/12/16,3039,10.53
2019/12/17,3189,10.91
2019/12/18,3254,11.19
2019/12/19,3107,10.73
2019/12/20,3146,11.01
2019/12/21,2815,10.69
2019/12/22,2747,10.94
2019/12/23,3330,11.57
2019/12/24,3284,11.32
2019/12/25,3606,12.45
2019/12/26,3263,11.27
2019/12/27,3206,11.5
2019/12/28,3153,12.43
2019/12/29,2899,11.6
2019/12/30,3143,11.23
2019/12/31,3108,11.36
2020/1/1,2790,11.01
2020/1/2,3080,10.91
2020/1/3,3384,11.96
2020/1/4,3636,14.21
2020/1/5,2695,10.88
2020/1/6,3009,10.51
2020/1/7,3104,10.65
2020/1/8,3235,11.33
2020/1/9,3131,10.9
2020/1/10,3298,11.58
2020/1/11,3851,15.2
2020/1/12,3091,12.44
2020/1/13,3157,11.02
2020/1/14,3412,11.85
2020/1/15,3386,11.91
2020/1/16,3005,10.47
2020/1/17,3399,12.06
2020/1/18,3160,12.12
2020/1/19,3334,13.17
2020/1/20,3183,11.38
2020/1/21,3259,11.84
2020/1/22,3887,15.09
2020/1/23,3344,14.21
2020/1/24,3483,16.17
2020/1/25,3551,16.89
2020/1/26,3528,16.66
2020/1/27,3704,17.06
2020/1/28,3653,16.01
2020/1/29,3304,13.77
2020/1/30,2991,11.36
2020/1/31,3361,12.58
2020/2/1,3890,15.43
2020/2/2,3247,13.08
2020/2/3,4088,14.62
2020/2/4,3302,11.61
2020/2/5,3643,12.83
2020/2/6,3347,11.75
2020/2/7,3767,13.32
2020/2/8,3660,14.28
2020/2/9,3084,12.26
2020/2/10,3146,11.12
2020/2/11,3219,11.23
